R	400,300
x : 0.281250	 y : 0.000000	 z : 2.500000
x : 0.343750	 y : 0.000000	 z : 2.500000
x : 1.000000	 y : 0.000000	 z : 2.500000
x : 1.125000	 y : 0.000000	 z : 2.500000
x : 1.468750	 y : 0.000000	 z : 2.500000
x : 1.500000	 y : 0.000000	 z : 2.500000
x : 1.968750	 y : 0.000000	 z : 2.500000
x : 0.181818	 y : 0.000000	 z : 2.121212
x : 0.242424	 y : 0.000000	 z : 2.121212
x : 0.424242	 y : 0.000000	 z : 2.121212
x : 0.454545	 y : 0.000000	 z : 2.121212
x : 0.757576	 y : 0.000000	 z : 2.121212
x : 0.848485	 y : 0.000000	 z : 2.121212
x : 0.878788	 y : 0.000000	 z : 2.121212
x : 1.303030	 y : 0.000000	 z : 2.121212
x : 1.696970	 y : 0.000000	 z : 2.121212
x : 1.848485	 y : 0.000000	 z : 2.121212
x : 1.909091	 y : 0.000000	 z : 2.121212
x : 0.088235	 y : 0.000000	 z : 1.764706
x : 0.500000	 y : 0.000000	 z : 1.764706
x : 0.529412	 y : 0.000000	 z : 1.764706
x : 0.911765	 y : 0.000000	 z : 1.764706
x : 1.058824	 y : 0.000000	 z : 1.764706
x : 1.205882	 y : 0.000000	 z : 1.764706
x : 1.264706	 y : 0.000000	 z : 1.764706
x : 1.323529	 y : 0.000000	 z : 1.764706
x : 1.823529	 y : 0.000000	 z : 1.764706
x : 1.911765	 y : 0.000000	 z : 1.764706
x : 0.200000	 y : 0.000000	 z : 1.428571
x : 0.342857	 y : 0.000000	 z : 1.428571
x : 0.857143	 y : 0.000000	 z : 1.428571
x : 0.885714	 y : 0.000000	 z : 1.428571
x : 0.942857	 y : 0.000000	 z : 1.428571
x : 1.000000	 y : 0.000000	 z : 1.428571
x : 1.085714	 y : 0.000000	 z : 1.428571
x : 1.685714	 y : 0.000000	 z : 1.428571
x : 0.222222	 y : 0.000000	 z : 1.111111
x : 0.250000	 y : 0.000000	 z : 1.111111
x : 0.583333	 y : 0.000000	 z : 1.111111
x : 0.777778	 y : 0.000000	 z : 1.111111
x : 0.805556	 y : 0.000000	 z : 1.111111
x : 0.972222	 y : 0.000000	 z : 1.111111
x : 1.000000	 y : 0.000000	 z : 1.111111
x : 1.027778	 y : 0.000000	 z : 1.111111
x : 1.222222	 y : 0.000000	 z : 1.111111
x : 1.416667	 y : 0.000000	 z : 1.111111
x : 1.472222	 y : 0.000000	 z : 1.111111
x : 1.500000	 y : 0.000000	 z : 1.111111
x : 1.583333	 y : 0.000000	 z : 1.111111
x : 1.666667	 y : 0.000000	 z : 1.111111
x : 0.189189	 y : 0.000000	 z : 0.810811
x : 0.459459	 y : 0.000000	 z : 0.810811
x : 0.918919	 y : 0.000000	 z : 0.810811
x : 1.135135	 y : 0.000000	 z : 0.810811
x : 1.162162	 y : 0.000000	 z : 0.810811
x : 1.891892	 y : 0.000000	 z : 0.810811
x : 1.972973	 y : 0.000000	 z : 0.810811
x : 0.315789	 y : 0.000000	 z : 0.526316
x : 0.342105	 y : 0.000000	 z : 0.526316
x : 0.500000	 y : 0.000000	 z : 0.526316
x : 0.552632	 y : 0.000000	 z : 0.526316
x : 0.657895	 y : 0.000000	 z : 0.526316
x : 0.736842	 y : 0.000000	 z : 0.526316
x : 0.789474	 y : 0.000000	 z : 0.526316
x : 0.868421	 y : 0.000000	 z : 0.526316
x : 1.157895	 y : 0.000000	 z : 0.526316
x : 1.236842	 y : 0.000000	 z : 0.526316
x : 1.289474	 y : 0.000000	 z : 0.526316
x : 1.315789	 y : 0.000000	 z : 0.526316
x : 1.342105	 y : 0.000000	 z : 0.526316
x : 1.368421	 y : 0.000000	 z : 0.526316
x : 1.421053	 y : 0.000000	 z : 0.526316
x : 1.447368	 y : 0.000000	 z : 0.526316
x : 1.605263	 y : 0.000000	 z : 0.526316
x : 1.789474	 y : 0.000000	 z : 0.526316
x : 1.815789	 y : 0.000000	 z : 0.526316
x : 1.868421	 y : 0.000000	 z : 0.526316
x : 0.025641	 y : 0.000000	 z : 0.256410
x : 0.128205	 y : 0.000000	 z : 0.256410
x : 0.333333	 y : 0.000000	 z : 0.256410
x : 0.358974	 y : 0.000000	 z : 0.256410
x : 0.435897	 y : 0.000000	 z : 0.256410
x : 0.769231	 y : 0.000000	 z : 0.256410
x : 0.948718	 y : 0.000000	 z : 0.256410
x : 1.051282	 y : 0.000000	 z : 0.256410
x : 1.179487	 y : 0.000000	 z : 0.256410
x : 1.282051	 y : 0.000000	 z : 0.256410
x : 1.384615	 y : 0.000000	 z : 0.256410
x : 1.564103	 y : 0.000000	 z : 0.256410
x : 0.075000	 y : 0.000000	 z : -0.000000
x : 0.175000	 y : 0.000000	 z : -0.000000
x : 0.200000	 y : 0.000000	 z : -0.000000
x : 0.225000	 y : 0.000000	 z : -0.000000
x : 0.300000	 y : 0.000000	 z : -0.000000
x : 0.625000	 y : 0.000000	 z : -0.000000
x : 0.650000	 y : 0.000000	 z : -0.000000
x : 0.775000	 y : 0.000000	 z : -0.000000
x : 0.900000	 y : 0.000000	 z : -0.000000
x : 1.025000	 y : 0.000000	 z : -0.000000
x : 1.150000	 y : 0.000000	 z : -0.000000
x : 1.175000	 y : 0.000000	 z : -0.000000
x : 1.375000	 y : 0.000000	 z : -0.000000
x : 1.600000	 y : 0.000000	 z : -0.000000
x : 1.725000	 y : 0.000000	 z : -0.000000
x : 1.750000	 y : 0.000000	 z : -0.000000
x : 1.775000	 y : 0.000000	 z : -0.000000
x : 1.900000	 y : 0.000000	 z : -0.000000
x : 2.000000	 y : 0.000000	 z : -0.000000
x : 0.048780	 y : 0.000000	 z : -0.243902
x : 0.341463	 y : 0.000000	 z : -0.243902
x : 0.414634	 y : 0.000000	 z : -0.243902
x : 0.658537	 y : 0.000000	 z : -0.243902
x : 0.682927	 y : 0.000000	 z : -0.243902
x : 0.804878	 y : 0.000000	 z : -0.243902
x : 1.219512	 y : 0.000000	 z : -0.243902
x : 1.341463	 y : 0.000000	 z : -0.243902
x : 1.731707	 y : 0.000000	 z : -0.243902
x : 1.756098	 y : 0.000000	 z : -0.243902
x : 1.902439	 y : 0.000000	 z : -0.243902
x : 1.975610	 y : 0.000000	 z : -0.243902
x : 0.095238	 y : 0.000000	 z : -0.476190
x : 0.166667	 y : 0.000000	 z : -0.476190
x : 0.285714	 y : 0.000000	 z : -0.476190
x : 0.714286	 y : 0.000000	 z : -0.476190
x : 1.023810	 y : 0.000000	 z : -0.476190
x : 1.166667	 y : 0.000000	 z : -0.476190
x : 1.642857	 y : 0.000000	 z : -0.476190
x : 1.714286	 y : 0.000000	 z : -0.476190
x : 1.880952	 y : 0.000000	 z : -0.476190
x : 1.904762	 y : 0.000000	 z : -0.476190
